room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8240028,43453575,Private room,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,2,,2,1,31,1,51.082468,-114.049304,56:28.7
13395850,76207116,Entire home/apt,NORTHWEST,EDGEMONT,0,,8,5,160,2,51.135118,-114.130452,56:26.3
13559379,59206993,Entire home/apt,WEST,WEST SPRINGS,2,,5,2,121,3,51.064568,-114.191869,56:21.7
9590912,24709355,Private room,WEST,GLAMORGAN,34,4.5,2,1,25,1,51.014963,-114.160334,56:15.3
9787580,13528443,Entire home/apt,NORTHWEST,EDGEMONT,0,,2,2,80,1,51.127264,-114.135904,56:12.4
14340129,60953551,Private room,SOUTH,BRAESIDE,1,,1,1,18,3,50.956996,-114.102459,39:52.0
13428493,44445030,Entire home/apt,NORTHWEST,COLLINGWOOD,3,5,6,3,156,3,51.081679,-114.095232,39:37.9
2678340,4509302,Entire home/apt,CENTRE,CLIFF BUNGALOW,12,4.5,2,1,77,3,51.035017,-114.073053,39:34.5
13845751,81732289,Entire home/apt,NORTHWEST,CHARLESWOOD,9,5,2,0,64,1,51.081377,-114.11753,39:27.5
6991762,35253313,Entire home/apt,CENTRE,BELTLINE,6,5,2,1,160,3,51.042865,-114.058515,39:25.0
10903258,56506634,Private room,CENTRE,WEST HILLHURST,1,,2,1,63,1,51.057374,-114.124737,39:23.2
13534765,32020782,Entire home/apt,CENTRE,BANKVIEW,3,5,4,1,180,3,51.035051,-114.106165,39:21.8
12832916,65153660,Private room,CENTRE,RAMSAY,3,5,2,1,48,1,51.037265,-114.042233,39:19.2
9189073,27923971,Entire home/apt,CENTRE,HILLHURST,13,4.5,2,1,52,2,51.057581,-114.090132,39:17.6
13844282,4151556,Entire home/apt,CENTRE,DOWNTOWN WEST END,0,,2,1,112,,51.047564,-114.087914,39:16.5
6887151,18016239,Private room,CENTRE,MISSION,0,,2,1,160,1,51.032603,-114.064609,39:03.6
14535043,2424481,Entire home/apt,CENTRE,BELTLINE,0,,8,4,412,1,51.040493,-114.077222,39:01.6
6821964,25100877,Private room,CENTRE,CRESCENT HEIGHTS,35,5,2,1,40,1,51.059392,-114.064092,38:59.7
13916139,25138917,Entire home/apt,NORTHWEST,ROCKY RIDGE,2,,2,2,40,1,51.139283,-114.239644,38:58.7
1179277,6451839,Private room,NORTHWEST,BOWNESS,2,,1,1,36,1,51.09323,-114.204247,38:54.6
7663357,40206324,Entire home/apt,CENTRE,DOWNTOWN WEST END,0,,2,1,143,2,51.047357,-114.089423,38:52.1
